date,overnight_rate
2020-01-01,3.95
2020-02-01,3.95
2020-03-01,3.325
2020-04-01,2.45
2020-05-01,2.45
2020-06-01,2.45
2020-07-01,2.45
2020-08-01,2.45
2020-09-01,2.45
2020-10-01,2.45
2020-11-01,2.45
2020-12-01,2.45
2021-01-01,2.45
2021-02-01,2.45
2021-03-01,2.45
2021-04-01,2.45
2021-05-01,2.45
2021-06-01,2.45
2021-07-01,2.45
2021-08-01,2.45
2021-09-01,2.45
2021-10-01,2.45
2021-11-01,2.45
2021-12-01,2.45
2022-01-01,2.45
2022-02-01,2.45
2022-03-01,2.65
2022-04-01,2.95
2022-05-01,3.2
2022-06-01,3.6
2022-07-01,4.2
2022-08-01,4.7
2022-09-01,5.2625
2022-10-01,5.45
2022-11-01,5.95
2022-12-01,6.325
