client_id,segment,invoice_amount,invoice_date,home_sales,avg_price,overnight_rate,days_to_pay,payment_date,invoice_year,invoice_month
C021,B,22939.47,2020-12-07,13500,740000,2.45,44,2021-01-20,2020,12
C031,B,91766.16,2022-12-06,10000,880000,6.325,79,2023-02-23,2022,12
C047,B,37067.5,2022-09-09,11000,910000,5.2625,63,2022-11-11,2022,9
C010,B,42616.54,2022-02-16,15000,945000,2.45,34,2022-03-22,2022,2
C026,B,76578.41,2022-12-18,10000,880000,6.325,46,2023-02-02,2022,12
C038,A,55955.4,2022-07-19,12000,930000,4.2,37,2022-08-25,2022,7
C066,B,120547.4,2020-05-23,9000,705000,2.45,34,2020-06-26,2020,5
C054,C,86890.28,2021-03-28,17000,850000,2.45,28,2021-04-25,2021,3
C037,B,75804.54,2020-03-15,12000,700000,3.325,48,2020-05-02,2020,3
C001,B,47604.87,2022-09-20,11000,910000,5.2625,46,2022-11-05,2022,9
C058,A,87923.07,2020-06-06,13000,710000,2.45,18,2020-06-24,2020,6
C019,B,50785.35,2021-02-08,14500,835000,2.45,32,2021-03-12,2021,2
C010,B,90817.92,2020-03-10,12000,700000,3.325,28,2020-04-07,2020,3
C027,A,83147.31,2022-05-13,13500,950000,3.2,31,2022-06-13,2022,5
C016,A,53402.37,2021-05-10,18000,880000,2.45,31,2021-06-10,2021,5
C071,B,46400.76,2022-05-17,13500,950000,3.2,15,2022-06-01,2022,5
C061,B,57843.06,2022-04-09,14500,955000,2.95,37,2022-05-16,2022,4
C052,B,79109.59,2022-04-28,14500,955000,2.95,32,2022-05-30,2022,4
C008,C,175540.31,2022-01-17,14000,930000,2.45,23,2022-02-09,2022,1
C041,A,53217.39,2020-11-03,14200,735000,2.45,26,2020-11-29,2020,11
C033,A,100220.36,2020-12-03,13500,740000,2.45,36,2021-01-08,2020,12
C064,B,65872.01,2022-11-06,10500,890000,5.95,43,2022-12-19,2022,11
C073,A,39924.89,2022-10-18,10800,900000,5.45,39,2022-11-26,2022,10
C007,A,50490.69,2022-07-12,12000,930000,4.2,23,2022-08-04,2022,7
C051,C,131093.84,2020-11-07,14200,735000,2.45,50,2020-12-27,2020,11
C014,A,52726.9,2020-06-22,13000,710000,2.45,21,2020-07-13,2020,6
C011,A,45380.49,2020-04-25,6500,695000,2.45,24,2020-05-19,2020,4
C061,B,32973.85,2020-11-21,14200,735000,2.45,36,2020-12-27,2020,11
C031,B,82523.94,2022-12-04,10000,880000,6.325,73,2023-02-15,2022,12
C061,B,116239.12,2020-08-10,14500,720000,2.45,40,2020-09-19,2020,8
C055,B,44742.61,2022-09-18,11000,910000,5.2625,47,2022-11-04,2022,9
C041,A,19839.7,2020-04-18,6500,695000,2.45,19,2020-05-07,2020,4
C070,C,67269.26,2021-09-15,15800,905000,2.45,33,2021-10-18,2021,9
C017,B,146746.41,2022-01-03,14000,930000,2.45,43,2022-02-15,2022,1
C013,C,48360.52,2021-02-04,14500,835000,2.45,52,2021-03-28,2021,2
C010,B,36558.92,2021-03-09,17000,850000,2.45,31,2021-04-09,2021,3
C036,C,109786.84,2022-09-13,11000,910000,5.2625,76,2022-11-28,2022,9
C054,C,47523.1,2022-12-28,10000,880000,6.325,103,2023-04-10,2022,12
C064,B,34291.66,2021-09-14,15800,905000,2.45,44,2021-10-28,2021,9
C002,C,77111.67,2022-07-23,12000,930000,4.2,59,2022-09-20,2022,7
C074,C,61557.54,2021-11-14,14500,915000,2.45,46,2021-12-30,2021,11
C073,A,42775.72,2021-01-19,13000,820000,2.45,29,2021-02-17,2021,1
C015,A,61948.39,2021-01-25,13000,820000,2.45,28,2021-02-22,2021,1
C023,A,43867.51,2022-04-13,14500,955000,2.95,32,2022-05-15,2022,4
C046,B,90365.19,2020-12-11,13500,740000,2.45,44,2021-01-24,2020,12
C041,A,61110.48,2022-02-13,15000,945000,2.45,25,2022-03-10,2022,2
C036,C,163361.64,2022-12-15,10000,880000,6.325,74,2023-02-27,2022,12
C005,A,61078.81,2022-11-08,10500,890000,5.95,43,2022-12-21,2022,11
C041,A,58648.28,2021-06-10,17800,890000,2.45,21,2021-07-01,2021,6
C046,B,122055.48,2020-09-13,15000,725000,2.45,44,2020-10-27,2020,9
C062,A,24527.58,2021-09-02,15800,905000,2.45,25,2021-09-27,2021,9
C074,C,98634.89,2021-10-09,15500,910000,2.45,43,2021-11-21,2021,10
C050,A,41915.24,2020-01-25,11000,680000,3.95,34,2020-02-28,2020,1
C026,B,71539.23,2022-04-06,14500,955000,2.95,41,2022-05-17,2022,4
C056,C,61561.36,2022-05-07,13500,950000,3.2,70,2022-07-16,2022,5
C055,B,159738.53,2021-06-24,17800,890000,2.45,36,2021-07-30,2021,6
C006,A,98134.07,2022-05-19,13500,950000,3.2,27,2022-06-15,2022,5
C006,A,89348.73,2020-09-12,15000,725000,2.45,22,2020-10-04,2020,9
C041,A,73800.55,2021-01-07,13000,820000,2.45,33,2021-02-09,2021,1
C026,B,38383.37,2020-02-06,11500,690000,3.95,53,2020-03-30,2020,2
C079,B,88448.12,2021-03-26,17000,850000,2.45,20,2021-04-15,2021,3
C007,A,53720.94,2021-02-15,14500,835000,2.45,16,2021-03-03,2021,2
C022,A,42922.2,2022-11-10,10500,890000,5.95,37,2022-12-17,2022,11
C047,B,76542.68,2021-09-22,15800,905000,2.45,33,2021-10-25,2021,9
C009,B,36275.27,2022-05-04,13500,950000,3.2,33,2022-06-06,2022,5
C027,A,75798.99,2022-06-20,12500,945000,3.6,23,2022-07-13,2022,6
C050,A,45943.13,2021-11-14,14500,915000,2.45,6,2021-11-20,2021,11
C052,B,104917.43,2022-02-23,15000,945000,2.45,60,2022-04-24,2022,2
C079,B,65268.41,2021-11-25,14500,915000,2.45,42,2022-01-06,2021,11
C049,B,44580.21,2021-09-12,15800,905000,2.45,45,2021-10-27,2021,9
C050,A,64928.32,2021-02-13,14500,835000,2.45,25,2021-03-10,2021,2
C048,B,44252.58,2021-10-23,15500,910000,2.45,45,2021-12-07,2021,10
C003,B,98416.61,2020-06-11,13000,710000,2.45,28,2020-07-09,2020,6
C046,B,70832.45,2020-10-09,14800,730000,2.45,35,2020-11-13,2020,10
C072,A,58740.39,2021-01-07,13000,820000,2.45,28,2021-02-04,2021,1
C064,B,49408.66,2022-03-15,15500,960000,2.65,43,2022-04-27,2022,3
C023,A,45415.67,2022-12-28,10000,880000,6.325,43,2023-02-09,2022,12
C048,B,57172.56,2020-06-05,13000,710000,2.45,24,2020-06-29,2020,6
C011,A,25646.41,2020-07-09,14000,715000,2.45,16,2020-07-25,2020,7
C048,B,53094.89,2020-09-13,15000,725000,2.45,20,2020-10-03,2020,9
C069,A,69786.62,2020-09-23,15000,725000,2.45,16,2020-10-09,2020,9
C041,A,99296.85,2021-01-02,13000,820000,2.45,18,2021-01-20,2021,1
