iter	Quantile:alpha=0.9
0	3.313087938
1	3.198651941
2	3.095397322
3	3.018466843
4	2.954424512
5	2.870652842
6	2.793255649
7	2.720870288
8	2.656542093
9	2.594412705
10	2.535418992
11	2.48296426
12	2.435460268
13	2.390311142
14	2.346562921
15	2.308531962
16	2.269964558
17	2.233923013
18	2.199222342
19	2.167795057
20	2.138794104
21	2.110731875
22	2.084206633
23	2.061557324
24	2.040276246
25	2.018340055
26	1.998026058
27	1.978810917
28	1.961080422
29	1.946167779
30	1.930573453
31	1.917075456
32	1.904244259
33	1.89026412
34	1.875527737
35	1.864675833
36	1.853395672
37	1.844509247
38	1.834452211
39	1.82577097
40	1.818428914
41	1.81094801
42	1.803618738
43	1.798286675
44	1.791674966
45	1.784589536
46	1.780957927
47	1.776759521
48	1.771149829
49	1.764765585
50	1.760026237
51	1.755383904
52	1.751393697
53	1.747416483
54	1.743360122
55	1.740403302
56	1.73883454
57	1.737020327
58	1.733808864
59	1.731434603
60	1.727699372
61	1.724800521
62	1.721783197
63	1.719444409
64	1.717110365
65	1.715081431
66	1.714307655
67	1.712411284
68	1.710565891
69	1.707793051
70	1.706244446
71	1.70435135
72	1.700742117
73	1.699153499
74	1.698471576
75	1.698130128
76	1.696928008
77	1.693327273
78	1.691191762
79	1.690035973
80	1.686162019
81	1.680979569
82	1.678380198
83	1.677215648
84	1.676279576
85	1.676124112
86	1.674682434
87	1.673825007
88	1.67169719
89	1.670040156
90	1.667446996
91	1.665426931
92	1.664759781
93	1.663324953
94	1.661626286
95	1.660910639
96	1.659441611
97	1.658077502
98	1.65736097
99	1.65600638
100	1.655561599
101	1.653069211
102	1.651362515
103	1.650172256
104	1.648807985
105	1.647355953
106	1.646090563
107	1.644721251
108	1.64402976
109	1.640817792
110	1.639986869
111	1.638381245
112	1.637601514
113	1.637579827
114	1.635833584
115	1.63533954
116	1.634058888
117	1.632802937
118	1.632742072
119	1.629384004
120	1.628638536
121	1.627761979
122	1.626445921
123	1.624773794
124	1.62284577
125	1.621018006
126	1.619635718
127	1.617682243
128	1.616089634
129	1.615839471
130	1.614543542
131	1.612532143
132	1.611893571
133	1.610512844
134	1.60840549
135	1.608401316
136	1.607601367
137	1.607594061
138	1.606952714
139	1.605524971
140	1.604812326
141	1.604131819
142	1.602652895
143	1.601093687
144	1.600110402
145	1.598714779
146	1.597759235
147	1.594725575
148	1.593714759
149	1.592708246
150	1.591948282
151	1.591026848
152	1.590185491
153	1.589435657
154	1.589429747
155	1.588764925
156	1.588483606
157	1.586591561
158	1.586571752
159	1.580367069
160	1.579356665
