iter	Passed	Remaining
0	75	150065
1	162	161841
2	251	167478
3	335	167200
4	378	151197
5	483	160552
6	573	163240
7	694	173026
8	783	173408
9	878	174895
10	977	176827
11	1085	179882
12	1188	181661
13	1254	177957
14	1345	178086
15	1377	170857
16	1462	170614
17	1566	172448
18	1672	174368
19	1777	175999
20	1870	176297
21	1991	179011
22	2124	182609
23	2240	184453
24	2406	190101
25	2497	189652
26	2618	191377
27	2693	189673
28	2773	188473
29	2824	185466
30	2936	186532
31	3047	187431
32	3166	188721
33	3303	191036
34	3443	193346
35	3516	191854
36	3611	191599
37	3663	189153
38	3799	191058
39	3932	192701
40	4021	192167
41	4144	193200
42	4252	193542
43	4326	192351
44	4446	193162
45	4540	192857
46	4562	189583
47	4685	190526
48	4767	189821
49	4881	190390
50	4989	190666
51	5116	191659
52	5217	191656
53	5315	191557
54	5426	191888
55	5523	191747
56	5546	189076
57	5595	187353
58	5713	187964
59	5833	188602
60	5911	187912
61	6022	188246
62	6106	187758
63	6196	187440
64	6299	187539
65	6417	188058
66	6465	186548
67	6553	186204
68	6658	186336
69	6753	186190
70	6872	186713
71	6972	186703
72	7051	186130
73	7131	185619
74	7178	184256
75	7223	182857
76	7346	183465
77	7440	183347
78	7555	183711
79	7673	184161
80	7780	184336
81	7893	184622
82	7984	184410
83	8099	184738
84	8183	184368
85	8207	182665
86	8315	182840
87	8414	182829
88	8520	182955
89	8612	182766
90	8747	183514
91	8847	183492
92	8927	183057
93	9016	182814
94	9120	182899
95	9231	183091
96	9325	182950
97	9437	183164
98	9558	183542
99	9690	184110
100	9784	183971
101	9893	184098
102	9973	183680
103	10050	183228
104	10126	182761
105	10210	182437
106	10299	182218
107	10409	182362
108	10477	181767
109	10560	181443
110	10652	181291
111	10770	181566
112	10856	181294
113	10879	179988
114	10967	179772
115	11068	179766
116	11179	179921
117	11284	179983
118	11319	178919
119	11415	178848
120	11557	179471
121	11638	179156
122	11745	179243
123	11860	179432
124	11960	179413
125	12049	179207
126	12127	178861
127	12262	179334
128	12362	179305
129	12446	179037
130	12572	179367
131	12681	179462
132	12790	179553
133	12874	179287
134	12978	179291
135	12993	178086
136	13085	177943
137	13107	176854
138	13213	176915
139	13330	177102
140	13420	176946
141	13517	176864
142	13628	176979
143	13733	177009
144	13853	177228
145	13930	176899
146	14025	176797
147	14134	176874
148	14248	177006
149	14362	177134
150	14459	177057
151	14554	176952
152	14668	177073
153	14774	177102
154	14811	176298
155	14907	176214
156	15009	176191
157	15115	176225
158	15138	175279
159	15223	175070
160	15308	174858
